signal_date,nikkei_dev,symbol,name,buy_price,sell_price,return_pct,profit_100,hold_days
2010-05-21,-8.67,7637.T,白銅,480.0,469.0,-2.49,-1196.0,365
2010-05-21,-8.67,6203.T,豊和工業,528.0,564.0,6.76,3569.0,365
2010-05-21,-8.67,7936.T,アシックス,170.0,254.0,48.82,8318.0,365
2010-05-21,-8.67,7505.T,扶桑電通,98.0,100.0,2.06,202.0,365
2010-05-21,-8.67,1795.T,マサル,821.0,800.0,-2.53,-2075.0,365
2010-05-21,-8.67,8309.T,三井住友トラストグループ,929.0,820.0,-11.72,-10888.0,365
2010-05-21,-8.67,3104.T,富士紡ホールディングス,312.0,403.0,29.29,9138.0,365
2010-05-21,-8.67,4461.T,第一工業製薬,819.0,838.0,2.35,1924.0,365
2011-03-14,-9.09,7637.T,白銅,443.0,464.0,4.78,2116.0,365
2011-03-14,-9.09,6203.T,豊和工業,557.0,557.0,0.0,0.0,365
2011-03-14,-9.09,7936.T,アシックス,223.0,202.0,-9.36,-2086.0,365
2011-03-14,-9.09,7505.T,扶桑電通,98.0,123.0,25.28,2483.0,365
2011-03-14,-9.09,1795.T,マサル,888.0,865.0,-2.59,-2304.0,365
2011-03-14,-9.09,8309.T,三井住友トラストグループ,858.0,836.0,-2.56,-2199.0,365
2011-03-14,-9.09,3104.T,富士紡ホールディングス,321.0,392.0,22.21,7126.0,365
2011-03-14,-9.09,4461.T,第一工業製薬,866.0,818.0,-5.53,-4791.0,365
2011-08-08,-8.13,7637.T,白銅,434.0,424.0,-2.35,-1020.0,365
2011-08-08,-8.13,6203.T,豊和工業,464.0,491.0,5.86,2720.0,365
2011-08-08,-8.13,7936.T,アシックス,247.0,205.0,-17.01,-4210.0,365
2011-08-08,-8.13,7505.T,扶桑電通,95.0,133.0,39.58,3772.0,365
2011-08-08,-8.13,1795.T,マサル,849.0,879.0,3.57,3028.0,365
2011-08-08,-8.13,8309.T,三井住友トラストグループ,799.0,680.0,-14.97,-11967.0,365
2011-08-08,-8.13,3104.T,富士紡ホールディングス,448.0,550.0,22.71,10186.0,365
2011-08-08,-8.13,4461.T,第一工業製薬,815.0,806.0,-1.03,-841.0,365
2012-05-18,-7.3,7637.T,白銅,418.0,512.0,22.48,9396.0,365
2012-05-18,-7.3,6203.T,豊和工業,520.0,912.0,75.27,39148.0,365
2012-05-18,-7.3,7936.T,アシックス,175.0,377.0,114.65,20116.0,365
2012-05-18,-7.3,7505.T,扶桑電通,120.0,167.0,39.62,4739.0,365
2012-05-18,-7.3,1795.T,マサル,806.0,1008.0,25.02,20167.0,365
2012-05-18,-7.3,8309.T,三井住友トラストグループ,634.0,1752.0,176.22,111759.0,365
2012-05-18,-7.3,3104.T,富士紡ホールディングス,352.0,619.0,75.62,26641.0,365
2012-05-18,-7.3,4461.T,第一工業製薬,739.0,965.0,30.55,22586.0,365
2013-06-03,-7.93,7637.T,白銅,493.0,593.0,20.44,10069.0,365
2013-06-03,-7.93,6203.T,豊和工業,772.0,571.0,-26.04,-20099.0,365
2013-06-03,-7.93,7936.T,アシックス,319.0,491.0,53.85,17178.0,365
2013-06-03,-7.93,7505.T,扶桑電通,178.0,177.0,-0.85,-152.0,365
2013-06-03,-7.93,1795.T,マサル,967.0,1131.0,16.93,16377.0,365
2013-06-03,-7.93,8309.T,三井住友トラストグループ,1283.0,1401.0,9.14,11728.0,365
2013-06-03,-7.93,3104.T,富士紡ホールディングス,553.0,661.0,19.6,10838.0,365
