symbol,name,revenue_growth_pct,net_income_growth_pct,current_deviation_pct
7637.T,"Hakudo Co., Ltd.",16.0,16.7,-3.68
6203.T,"Howa Machinery, Ltd.",25.5,185.8,-2.42
7936.T,ASICS Corporation,19.5,54.7,-0.5
2970.T,"Glc Group,Inc.",43.1,65.2,0.16
7505.T,"Fuso Dentsu Co., Ltd.",16.9,76.3,1.21
1795.T,Masaru Corporation,19.0,46.2,2.13
8309.T,"Sumitomo Mitsui Trust Group, Inc.",18.1,225.3,2.14
6549.T,"DM Solutions Co.,Ltd",16.2,23.4,4.31
3104.T,"Fujibo Holdings, Inc.",18.8,111.5,7.72
4461.T,DKS Co. Ltd.,16.1,120.2,9.06
